      t(s)           distancia            ln(d/d0)           lambda(t)
  7.730000            0.499325            1.608087            0.208032
  7.740000            0.508362            1.626024            0.210081
  7.750000            0.516772            1.642432            0.211927
  7.760000            0.524555            1.657381            0.213580
  7.770000            0.531708            1.670924            0.215048
  7.780000            0.538231            1.683118            0.216339
  7.790000            0.544120            1.694000            0.217458
  7.800000            0.549370            1.703601            0.218410
  7.810000            0.553974            1.711947            0.219199
  7.820000            0.557926            1.719057            0.219828
  7.830000            0.561219            1.724941            0.220299
  7.840000            0.563842            1.729604            0.220613
  7.850000            0.565783            1.733041            0.220770
  7.860000            0.567032            1.735246            0.220769
  7.870000            0.567573            1.736200            0.220610
  7.880000            0.567392            1.735880            0.220289
  7.890000            0.566470            1.734254            0.219804
  7.900000            0.564786            1.731277            0.219149
  7.910000            0.562321            1.726902            0.218319
  7.920000            0.559050            1.721069            0.217307
  7.930000            0.554948            1.713704            0.216104
  7.940000            0.549984            1.704719            0.214700
  7.950000            0.544129            1.694017            0.213084
  7.960000            0.537351            1.681481            0.211241
  7.970000            0.529611            1.666972            0.209156
  7.980000            0.520872            1.650335            0.206809
  7.990000            0.511096            1.631387            0.204179
  8.000000            0.500243            1.609924            0.201241
  8.010000            0.488273            1.585705            0.197966
  8.020000            0.475153            1.558467            0.194323
  8.030000            0.460851            1.527905            0.190275
  8.040000            0.445345            1.493680            0.185781
  8.050000            0.428631            1.455427            0.180798
  8.060000            0.410714            1.412728            0.175276
  8.070000            0.391616            1.365112            0.169159
  8.080000            0.371370            1.312029            0.162380
  8.090000            0.350012            1.252797            0.154858
  8.100000            0.327583            1.186571            0.146490
  8.110000            0.304142            1.112325            0.137155
  8.120000            0.279800            1.028903            0.126712
  8.130000            0.254777            0.935220            0.115033
  8.140000            0.229456            0.830541            0.102032
  8.150000            0.204391            0.714863            0.087713
  8.160000            0.180299            0.589446            0.072236
  8.170000            0.158003            0.457445            0.055991
  8.180000            0.138368            0.324745            0.039700
  8.190000            0.122232            0.200754            0.024512
  8.200000            0.110310            0.098121            0.011966
  8.210000            0.103020            0.029754            0.003624
  8.220000            0.100297            0.002963            0.000360
  8.230000            0.101528            0.015164            0.001843
  8.240000            0.105759            0.055995            0.006796
  8.250000            0.112001            0.113337            0.013738
  8.260000            0.119433            0.177583            0.021499
  8.270000            0.127460            0.242633            0.029339
  8.280000            0.135680            0.305128            0.036851
  8.290000            0.143833            0.363479            0.043846
  8.300000            0.151754            0.417088            0.050252
  8.310000            0.159340            0.465871            0.056061
  8.320000            0.166534            0.510028            0.061301
  8.330000            0.173300            0.549851            0.066009
  8.340000            0.179620            0.585672            0.070224
  8.350000            0.185486            0.617812            0.073989
  8.360000            0.190899            0.646576            0.077342
  8.370000            0.195862            0.672240            0.080315
  8.380000            0.200378            0.695036            0.082940
  8.390000            0.204455            0.715177            0.085242
  8.400000            0.208098            0.732840            0.087243
  8.410000            0.211315            0.748180            0.088963
  8.420000            0.214108            0.761308            0.090417
  8.430000            0.216483            0.772340            0.091618
  8.440000            0.218442            0.781352            0.092577
  8.450000            0.219989            0.788406            0.093302
  8.460000            0.221122            0.793542            0.093799
  8.470000            0.221839            0.796781            0.094071
  8.480000            0.222140            0.798138            0.094120
  8.490000            0.222022            0.797606            0.093947
  8.500000            0.221475            0.795142            0.093546
  8.510000            0.220497            0.790713            0.092916
  8.520000            0.219077            0.784253            0.092048
  8.530000            0.217205            0.775673            0.090935
  8.540000            0.214873            0.764876            0.089564
  8.550000            0.212065            0.751723            0.087921
  8.560000            0.208771            0.736067            0.085989
  8.570000            0.204976            0.717724            0.083748
  8.580000            0.200669            0.696488            0.081176
  8.590000            0.195838            0.672117            0.078244
  8.600000            0.190472            0.644333            0.074922
  8.610000            0.184569            0.612855            0.071179
  8.620000            0.178134            0.577366            0.066980
  8.630000            0.171183            0.537565            0.062290
  8.640000            0.163755            0.493203            0.057084
  8.650000            0.155920            0.444176            0.051350
  8.660000            0.147796            0.390664            0.045111
  8.670000            0.139573            0.333421            0.038457
  8.680000            0.131546            0.274189            0.031589
  8.690000            0.124150            0.216320            0.024893
  8.700000            0.117993            0.165458            0.019018
  8.710000            0.113851            0.129722            0.014893
  8.720000            0.112566            0.118368            0.013574
  8.730000            0.114834            0.138314            0.015844
  8.740000            0.120937            0.190103            0.021751
  8.750000            0.130646            0.267323            0.030551
  8.760000            0.143311            0.359848            0.041079
  8.770000            0.158113            0.458141            0.052240
  8.780000            0.174263            0.555393            0.063257
  8.790000            0.191115            0.647703            0.073686
  8.800000            0.208194            0.733300            0.083330
  8.810000            0.225166            0.811666            0.092130
  8.820000            0.241786            0.882882            0.100100
  8.830000            0.257854            0.947223            0.107273
  8.840000            0.273194            1.005012            0.113689
  8.850000            0.287645            1.056556            0.119385
  8.860000            0.301076            1.102194            0.124401
  8.870000            0.313395            1.142294            0.128782
  8.880000            0.324549            1.177267            0.132575
  8.890000            0.334524            1.207539            0.135831
  8.900000            0.343334            1.233534            0.138599
  8.910000            0.351013            1.255652            0.140926
  8.920000            0.357606            1.274262            0.142855
  8.930000            0.363168            1.289694            0.144423
  8.940000            0.367750            1.302233            0.145664
  8.950000            0.371410            1.312135            0.146607
  8.960000            0.374196            1.319610            0.147278
  8.970000            0.376159            1.324841            0.147697
  8.980000            0.377341            1.327980            0.147882
  8.990000            0.377784            1.329152            0.147848
  9.000000            0.377526            1.328469            0.147608
  9.010000            0.376596            1.326004            0.147170
  9.020000            0.375028            1.321832            0.146545
  9.030000            0.372845            1.315992            0.145736
  9.040000            0.370071            1.308525            0.144748
  9.050000            0.366728            1.299451            0.143586
  9.060000            0.362831            1.288766            0.142248
  9.070000            0.358397            1.276471            0.140735
  9.080000            0.353438            1.262538            0.139046
  9.090000            0.347966            1.246934            0.137176
  9.100000            0.341991            1.229616            0.135123
  9.110000            0.335521            1.210513            0.132877
  9.120000            0.328560            1.189550            0.130433
  9.130000            0.321116            1.166632            0.127780
  9.140000            0.313193            1.141650            0.124907
  9.150000            0.304794            1.114466            0.121800
  9.160000            0.295925            1.084935            0.118443
  9.170000            0.286588            1.052875            0.114817
  9.180000            0.276791            1.018094            0.110903
  9.190000            0.266545            0.980371            0.106678
  9.200000            0.255861            0.939465            0.102116
  9.210000            0.244762            0.895115            0.097189
  9.220000            0.233276            0.847053            0.091871
  9.230000            0.221454            0.795046            0.086137
  9.240000            0.209367            0.738918            0.079969
  9.250000            0.197120            0.678644            0.073367
  9.260000            0.184872            0.614495            0.066360
  9.270000            0.172858            0.547299            0.059040
  9.280000            0.161419            0.478832            0.051598
  9.290000            0.151047            0.412421            0.044394
  9.300000            0.142412            0.353554            0.038017
  9.310000            0.136369            0.310191            0.033318
  9.320000            0.133868            0.291685            0.031297
  9.330000            0.135756            0.305687            0.032764
  9.340000            0.142502            0.354189            0.037922
  9.350000            0.154067            0.432217            0.046226
  9.360000            0.169944            0.530301            0.056656
  9.370000            0.189381            0.638590            0.068153
  9.380000            0.211542            0.749256            0.079878
  9.390000            0.235636            0.857117            0.091280
  9.400000            0.260959            0.959192            0.102042
  9.410000            0.286926            1.054053            0.112014
  9.420000            0.313066            1.141245            0.121151
  9.430000            0.339009            1.220857            0.129465
  9.440000            0.364464            1.293259            0.136998
  9.450000            0.389196            1.358913            0.143800
  9.460000            0.413008            1.418296            0.149926
  9.470000            0.435740            1.471875            0.155425
  9.480000            0.457267            1.520097            0.160348
  9.490000            0.477507            1.563408            0.164743
  9.500000            0.496411            1.602235            0.168656
  9.510000            0.513968            1.636992            0.172134
  9.520000            0.530189            1.668063            0.175217
  9.530000            0.545105            1.695808            0.177944
  9.540000            0.558757            1.720545            0.180351
  9.550000            0.571195            1.742560            0.182467
  9.560000            0.582466            1.762101            0.184320
  9.570000            0.592624            1.779390            0.185934
  9.580000            0.601716            1.794615            0.187329
  9.590000            0.609787            1.807939            0.188523
  9.600000            0.616880            1.819505            0.189532
  9.610000            0.623036            1.829434            0.190368
  9.620000            0.628289            1.837830            0.191043
  9.630000            0.632672            1.844781            0.191566
  9.640000            0.636213            1.850363            0.191946
  9.650000            0.638939            1.854638            0.192190
  9.660000            0.640873            1.857661            0.192304
  9.670000            0.642035            1.859473            0.192293
  9.680000            0.642443            1.860107            0.192160
  9.690000            0.642111            1.859591            0.191908
  9.700000            0.641054            1.857944            0.191541
  9.710000            0.639281            1.855174            0.191058
  9.720000            0.636801            1.851287            0.190462
  9.730000            0.633621            1.846280            0.189751
  9.740000            0.629743            1.840141            0.188926
  9.750000            0.625171            1.832855            0.187985
  9.760000            0.619905            1.824396            0.186926
  9.770000            0.613943            1.814731            0.185745
  9.780000            0.607282            1.803824            0.184440
  9.790000            0.599917            1.791622            0.183005
  9.800000            0.591839            1.778065            0.181435
  9.810000            0.583039            1.763084            0.179723
  9.820000            0.573505            1.746597            0.177861
  9.830000            0.563225            1.728510            0.175840
  9.840000            0.552185            1.708713            0.173650
  9.850000            0.540368            1.687081            0.171277
  9.860000            0.527757            1.663466            0.168709
  9.870000            0.514334            1.637703            0.165927
  9.880000            0.500083            1.609604            0.162915
  9.890000            0.484987            1.578951            0.159651
  9.900000            0.469035            1.545507            0.156112
  9.910000            0.452218            1.508994            0.152270
  9.920000            0.434540            1.469117            0.148096
  9.930000            0.416011            1.425542            0.143559
  9.940000            0.396669            1.377931            0.138625
  9.950000            0.376563            1.325914            0.133258
  9.960000            0.355783            1.269151            0.127425
  9.970000            0.334450            1.207318            0.121095
  9.980000            0.312726            1.140156            0.114244
  9.990000            0.290824            1.067549            0.106862
 10.000000            0.269016            0.989601            0.098960
 10.010000            0.247653            0.906860            0.090595
 10.020000            0.227206            0.820686            0.081905
 10.030000            0.208313            0.733871            0.073168
 10.040000            0.191825            0.651416            0.064882
 10.050000            0.178784            0.581010            0.057812
 10.060000            0.170268            0.532204            0.052903
 10.070000            0.167084            0.513325            0.050976
 10.080000            0.169431            0.527275            0.052309
 10.090000            0.176792            0.569803            0.056472
 10.100000            0.188148            0.632057            0.062580
 10.110000            0.202340            0.704778            0.069711
 10.120000            0.218334            0.780858            0.077160
 10.130000            0.235323            0.855789            0.084481
 10.140000            0.252723            0.927125            0.091432
 10.150000            0.270134            0.993746            0.097906
 10.160000            0.287283            1.055298            0.103868
 10.170000            0.303998            1.111852            0.109327
 10.180000            0.320163            1.163661            0.114309
 10.190000            0.335709            1.211073            0.118849
 10.200000            0.350591            1.254451            0.122985
 10.210000            0.364789            1.294148            0.126753
 10.220000            0.378289            1.330488            0.130185
 10.230000            0.391088            1.363763            0.133310
 10.240000            0.403189            1.394234            0.136156
 10.250000            0.414594            1.422129            0.138744
 10.260000            0.425310            1.447647            0.141096
 10.270000            0.435342            1.470961            0.143229
 10.280000            0.444697            1.492224            0.145158
 10.290000            0.453383            1.511567            0.146897
 10.300000            0.461401            1.529097            0.148456
 10.310000            0.468757            1.544915            0.149846
 10.320000            0.475455            1.559101            0.151076
 10.330000            0.481494            1.571723            0.152151
 10.340000            0.486878            1.582843            0.153080
 10.350000            0.491603            1.592501            0.153865
 10.360000            0.495669            1.600738            0.154511
 10.370000            0.499071            1.607578            0.155022
 10.380000            0.501805            1.613041            0.155399
 10.390000            0.503865            1.617138            0.155644
 10.400000            0.505243            1.619869            0.155757
 10.410000            0.505927            1.621223            0.155737
 10.420000            0.505910            1.621189            0.155584
 10.430000            0.505177            1.619738            0.155296
 10.440000            0.503714            1.616838            0.154870
 10.450000            0.501506            1.612446            0.154301
 10.460000            0.498534            1.606502            0.153585
 10.470000            0.494779            1.598942            0.152716
 10.480000            0.490220            1.589683            0.151687
 10.490000            0.484832            1.578631            0.150489
 10.500000            0.478591            1.565676            0.149112
 10.510000            0.471473            1.550691            0.147544
 10.520000            0.463448            1.533524            0.145772
 10.530000            0.454491            1.514007            0.143780
 10.540000            0.444573            1.491943            0.141551
 10.550000            0.433670            1.467113            0.139063
 10.560000            0.421759            1.439263            0.136294
 10.570000            0.408825            1.408116            0.133218
 10.580000            0.394859            1.373359            0.129807
 10.590000            0.379865            1.334645            0.126029
 10.600000            0.363859            1.291596            0.121849
 10.610000            0.346873            1.243789            0.117228
 10.620000            0.328958            1.190760            0.112124
 10.630000            0.310182            1.131990            0.106490
 10.640000            0.290630            1.066882            0.100271
 10.650000            0.270408            0.994763            0.093405
 10.660000            0.249661            0.914935            0.085829
 10.670000            0.228585            0.826740            0.077483
 10.680000            0.207458            0.729758            0.068329
 10.690000            0.186671            0.624176            0.058389
 10.700000            0.166737            0.511248            0.047780
 10.710000            0.148307            0.394115            0.036799
 10.720000            0.132146            0.278739            0.026002
 10.730000            0.119069            0.174529            0.016266
 10.740000            0.109809            0.093574            0.008713
 10.750000            0.104804            0.046918            0.004364
 10.760000            0.103971            0.038944            0.003619
 10.770000            0.106705            0.064898            0.006026
 10.780000            0.112102            0.114238            0.010597
 10.790000            0.119249            0.176041            0.016315
 10.800000            0.127398            0.242144            0.022421
 10.810000            0.136001            0.307492            0.028445
 10.820000            0.144687            0.369403            0.034141
 10.830000            0.153213            0.426660            0.039396
 10.840000            0.161423            0.478856            0.044175
 10.850000            0.169217            0.526009            0.048480
 10.860000            0.176540            0.568379            0.052337
 10.870000            0.183357            0.606268            0.055774
 10.880000            0.189653            0.640026            0.058826
 10.890000            0.195419            0.669973            0.061522
 10.900000            0.200654            0.696412            0.063891
 10.910000            0.205365            0.719617            0.065959
 10.920000            0.209554            0.739813            0.067748
 10.930000            0.213230            0.757201            0.069277
 10.940000            0.216399            0.771954            0.070563
 10.950000            0.219067            0.784209            0.071617
 10.960000            0.221241            0.794084            0.072453
 10.970000            0.222924            0.801660            0.073077
 10.980000            0.224119            0.807009            0.073498
 10.990000            0.224831            0.810179            0.073720
 11.000000            0.225060            0.811198            0.073745
 11.010000            0.224804            0.810059            0.073575
 11.020000            0.224063            0.806757            0.073208
 11.030000            0.222834            0.801257            0.072643
 11.040000            0.221112            0.793501            0.071875
 11.050000            0.218893            0.783414            0.070897
 11.060000            0.216171            0.770899            0.069702
 11.070000            0.212937            0.755825            0.068277
 11.080000            0.209186            0.738055            0.066611
 11.090000            0.204909            0.717397            0.064689
 11.100000            0.200103            0.693664            0.062492
 11.110000            0.194761            0.666602            0.060000
 11.120000            0.188883            0.635956            0.057190
 11.130000            0.182473            0.601432            0.054037
 11.140000            0.175548            0.562743            0.050516
 11.150000            0.168132            0.519582            0.046599
 11.160000            0.160278            0.471740            0.042271
 11.170000            0.152061            0.419108            0.037521
 11.180000            0.143604            0.361890            0.032369
 11.190000            0.135098            0.300832            0.026884
 11.200000            0.126821            0.237609            0.021215
 11.210000            0.119171            0.175392            0.015646
 11.220000            0.112693            0.119493            0.010650
 11.230000            0.108061            0.077530            0.006904
 11.240000            0.106010            0.058367            0.005193
 11.250000            0.107148            0.069037            0.006137
 11.260000            0.111762            0.111201            0.009876
 11.270000            0.119713            0.179923            0.015965
 11.280000            0.130520            0.266357            0.023613
 11.290000            0.143536            0.361419            0.032012
 11.300000            0.158112            0.458133            0.040543
 11.310000            0.173680            0.552042            0.048810
 11.320000            0.189780            0.640693            0.056598
 11.330000            0.206050            0.722946            0.063808
 11.340000            0.222198            0.798399            0.070406
 11.350000            0.237995            0.867077            0.076394
 11.360000            0.253238            0.929158            0.081792
 11.370000            0.267767            0.984947            0.086627
 11.380000            0.281450            1.034784            0.090930
 11.390000            0.294191            1.079061            0.094738
 11.400000            0.305927            1.118175            0.098086
 11.410000            0.316622            1.152538            0.101011
 11.420000            0.326265            1.182539            0.103550
 11.430000            0.334867            1.208564            0.105736
 11.440000            0.342451            1.230958            0.107601
 11.450000            0.349047            1.250035            0.109173
 11.460000            0.354691            1.266078            0.110478
 11.470000            0.359420            1.279323            0.111536
 11.480000            0.363276            1.289992            0.112369
 11.490000            0.366293            1.298264            0.112991
 11.500000            0.368508            1.304293            0.113417
 11.510000            0.369954            1.308209            0.113658
 11.520000            0.370664            1.310125            0.113726
 11.530000            0.370663            1.310123            0.113627
 11.540000            0.369980            1.308278            0.113369
 11.550000            0.368634            1.304633            0.112955
 11.560000            0.366647            1.299229            0.112390
 11.570000            0.364038            1.292089            0.111676
 11.580000            0.360822            1.283215            0.110813
 11.590000            0.357012            1.272599            0.109802
 11.600000            0.352620            1.260219            0.108640
 11.610000            0.347656            1.246043            0.107325
 11.620000            0.342127            1.230013            0.105853
 11.630000            0.336041            1.212062            0.104219
 11.640000            0.329403            1.192111            0.102415
 11.650000            0.322216            1.170053            0.100434
 11.660000            0.314487            1.145771            0.098265
 11.670000            0.306216            1.119120            0.095897
 11.680000            0.297409            1.089939            0.093317
 11.690000            0.288069            1.058031            0.090507
 11.700000            0.278207            1.023197            0.087453
 11.710000            0.267831            0.985186            0.084132
 11.720000            0.256959            0.943746            0.080524
 11.730000            0.245615            0.898593            0.076606
 11.740000            0.233838            0.849457            0.072356
 11.750000            0.221686            0.796092            0.067753
 11.760000            0.209245            0.738333            0.062783
 11.770000            0.196638            0.676195            0.057451
 11.780000            0.184052            0.610049            0.051787
 11.790000            0.171753            0.540886            0.045877
 11.800000            0.160123            0.470770            0.039896
 11.810000            0.149688            0.403386            0.034156
 11.820000            0.141145            0.344620            0.029156
 11.830000            0.135329            0.302537            0.025574
 11.840000            0.133087            0.285832            0.024141
 11.850000            0.135070            0.300622            0.025369
 11.860000            0.141502            0.347146            0.029270
 11.870000            0.152121            0.419508            0.035342
 11.880000            0.166309            0.508678            0.042818
 11.890000            0.183300            0.605956            0.050963
 11.900000            0.202353            0.704843            0.059231
 11.910000            0.222815            0.801173            0.067269
 11.920000            0.244157            0.892642            0.074886
 11.930000            0.265942            0.978108            0.081987
 11.940000            0.287823            1.057174            0.088541
 11.950000            0.309510            1.129820            0.094546
 11.960000            0.330763            1.196232            0.100019
 11.970000            0.351389            1.256723            0.104989
 11.980000            0.371228            1.311646            0.109486
 11.990000            0.390160            1.361386            0.113543
 12.000000            0.408101            1.406343            0.117195
 12.010000            0.424996            1.446909            0.120475
 12.020000            0.440817            1.483460            0.123416
 12.030000            0.455557            1.516350            0.126047
 12.040000            0.469219            1.545899            0.128397
 12.050000            0.481822            1.572404            0.130490
 12.060000            0.493391            1.596131            0.132349
 12.070000            0.503951            1.617308            0.133994
 12.080000            0.513532            1.636142            0.135442
 12.090000            0.522164            1.652811            0.136709
 12.100000            0.529874            1.667469            0.137807
 12.110000            0.536694            1.680257            0.138750
 12.120000            0.542644            1.691282            0.139545
 12.130000            0.547752            1.700652            0.140202
 12.140000            0.552038            1.708446            0.140729
 12.150000            0.555522            1.714737            0.141131
 12.160000            0.558222            1.719587            0.141413
 12.170000            0.560154            1.723042            0.141581
 12.180000            0.561331            1.725141            0.141637
 12.190000            0.561763            1.725910            0.141584
 12.200000            0.561462            1.725374            0.141424
 12.210000            0.560433            1.723540            0.141158
 12.220000            0.558683            1.720412            0.140787
 12.230000            0.556215            1.715985            0.140309
 12.240000            0.553031            1.710244            0.139726
 12.250000            0.549132            1.703168            0.139034
 12.260000            0.544515            1.694726            0.138232
 12.270000            0.539178            1.684876            0.137317
 12.280000            0.533115            1.673567            0.136284
 12.290000            0.526319            1.660738            0.135129
 12.300000            0.518785            1.646319            0.133847
 12.310000            0.510499            1.630218            0.132430
 12.320000            0.501452            1.612338            0.130872
 12.330000            0.491635            1.592566            0.129162
 12.340000            0.481029            1.570758            0.127290
 12.350000            0.469628            1.546771            0.125245
 12.360000            0.457417            1.520426            0.123012
 12.370000            0.444385            1.491522            0.120576
 12.380000            0.430524            1.459834            0.117919
 12.390000            0.415832            1.425110            0.115021
 12.400000            0.400309            1.387066            0.111860
 12.410000            0.383968            1.345390            0.108412
 12.420000            0.366833            1.299738            0.104649
 12.430000            0.348944            1.249742            0.100542
 12.440000            0.330360            1.195013            0.096062
 12.450000            0.311164            1.135150            0.091177
 12.460000            0.291472            1.069774            0.085857
 12.470000            0.271432            0.998540            0.080075
 12.480000            0.251240            0.921237            0.073817
 12.490000            0.231150            0.837897            0.067085
 12.500000            0.211500            0.749054            0.059924
 12.510000            0.192739            0.656165            0.052451
 12.520000            0.175461            0.562249            0.044908
 12.530000            0.160422            0.472635            0.037720
 12.540000            0.148501            0.395422            0.031533
 12.550000            0.140581            0.340616            0.027141
 12.560000            0.137289            0.316919            0.025232
 12.570000            0.138738            0.327417            0.026047
 12.580000            0.144457            0.367810            0.029238
 12.590000            0.153573            0.429005            0.034075
 12.600000            0.165113            0.501462            0.039799
 12.610000            0.178207            0.577777            0.045819
 12.620000            0.192172            0.653219            0.051761
 12.630000            0.206511            0.725183            0.057417
 12.640000            0.220877            0.792437            0.062693
 12.650000            0.235031            0.854548            0.067553
 12.660000            0.248814            0.911535            0.072001
 12.670000            0.262119            0.963629            0.076056
 12.680000            0.274878            1.011157            0.079744
 12.690000            0.287046            1.054472            0.083095
 12.700000            0.298596            1.093922            0.086136
 12.710000            0.309514            1.129833            0.088893
 12.720000            0.319792            1.162499            0.091391
 12.730000            0.329427            1.192185            0.093652
 12.740000            0.338419            1.219116            0.095692
 12.750000            0.346773            1.243500            0.097529
 12.760000            0.354489            1.265508            0.099178
 12.770000            0.361571            1.285288            0.100649
 12.780000            0.368022            1.302974            0.101954
 12.790000            0.373845            1.318671            0.103102
 12.800000            0.379041            1.332475            0.104100
 12.810000            0.383611            1.344458            0.104954
 12.820000            0.387554            1.354685            0.105670
 12.830000            0.390869            1.363202            0.106251
 12.840000            0.393553            1.370045            0.106701
 12.850000            0.395602            1.375238            0.107022
 12.860000            0.397009            1.378790            0.107215
 12.870000            0.397770            1.380704            0.107281
 12.880000            0.397876            1.380970            0.107218
 12.890000            0.397317            1.379565            0.107026
 12.900000            0.396081            1.376450            0.106702
 12.910000            0.394159            1.371584            0.106242
 12.920000            0.391535            1.364905            0.105643
 12.930000            0.388195            1.356337            0.104898
 12.940000            0.384123            1.345794            0.104003
 12.950000            0.379304            1.333168            0.102947
 12.960000            0.373720            1.318336            0.101723
 12.970000            0.367353            1.301154            0.100320
 12.980000            0.360188            1.281457            0.098725
 12.990000            0.352208            1.259053            0.096925
 13.000000            0.343402            1.233733            0.094903
 13.010000            0.333760            1.205251            0.092640
 13.020000            0.323277            1.173341            0.090118
 13.030000            0.311957            1.137697            0.087314
 13.040000            0.299816            1.098000            0.084202
 13.050000            0.286877            1.053884            0.080757
 13.060000            0.273184            1.004976            0.076951
 13.070000            0.258795            0.950867            0.072752
 13.080000            0.243790            0.891138            0.068130
 13.090000            0.228272            0.825367            0.063053
 13.100000            0.212369            0.753156            0.057493
 13.110000            0.196244            0.674187            0.051425
 13.120000            0.180100            0.588340            0.044843
 13.130000            0.164199            0.495910            0.037769
 13.140000            0.148883            0.397989            0.030288
 13.150000            0.134591            0.297068            0.022591
 13.160000            0.121870            0.197785            0.015029
 13.170000            0.111358            0.107576            0.008168
 13.180000            0.103697            0.036303            0.002754
 13.190000            0.099375           -0.006274           -0.000476
 13.200000            0.098521           -0.014896           -0.001128
 13.210000            0.100831            0.008281            0.000627
 13.220000            0.105662            0.055073            0.004166
 13.230000            0.112260            0.115645            0.008741
 13.240000            0.119936            0.181784            0.013730
 13.250000            0.128149            0.248021            0.018719
 13.260000            0.136506            0.311200            0.023469
 13.270000            0.144736            0.369744            0.027863
 13.280000            0.152660            0.423041            0.031856
 13.290000            0.160157            0.470981            0.035439
 13.300000            0.167157            0.513764            0.038629
 13.310000            0.173614            0.551665            0.041447
 13.320000            0.179504            0.585025            0.043921
 13.330000            0.184816            0.614192            0.046076
 13.340000            0.189546            0.639461            0.047936
 13.350000            0.193698            0.661131            0.049523
 13.360000            0.197277            0.679440            0.050856
 13.370000            0.200292            0.694608            0.051953
 13.380000            0.202750            0.706802            0.052825
 13.390000            0.204658            0.716172            0.053486
 13.400000            0.206028            0.722840            0.053943
 13.410000            0.206863            0.726888            0.054205
 13.420000            0.207174            0.728387            0.054276
 13.430000            0.206963            0.727370            0.054160
 13.440000            0.206237            0.723854            0.053858
 13.450000            0.204999            0.717834            0.053371
 13.460000            0.203251            0.709270            0.052695
 13.470000            0.200996            0.698112            0.051827
 13.480000            0.198233            0.684274            0.050762
 13.490000            0.194966            0.667657            0.049493
 13.500000            0.191195            0.648123            0.048009
 13.510000            0.186920            0.625508            0.046300
 13.520000            0.182144            0.599626            0.044351
 13.530000            0.176871            0.570248            0.042147
 13.540000            0.171109            0.537133            0.039670
 13.550000            0.164873            0.500004            0.036901
 13.560000            0.158183            0.458583            0.033819
 13.570000            0.151074            0.412601            0.030405
 13.580000            0.143595            0.361829            0.026644
 13.590000            0.135826            0.306201            0.022531
 13.600000            0.127877            0.245900            0.018081
 13.610000            0.119920            0.181652            0.013347
 13.620000            0.112195            0.115070            0.008449
 13.630000            0.105046            0.049231            0.003612
 13.640000            0.098935           -0.010710           -0.000785
 13.650000            0.094446           -0.057145           -0.004186
 13.660000            0.092222           -0.080969           -0.005927
 13.670000            0.092832           -0.074378           -0.005441
 13.680000            0.096590           -0.034694           -0.002536
 13.690000            0.103454            0.033959            0.002481
 13.700000            0.113079            0.122917            0.008972
 13.710000            0.124950            0.222741            0.016247
 13.720000            0.138526            0.325888            0.023753
 13.730000            0.153309            0.427287            0.031121
 13.740000            0.168878            0.524006            0.038137
 13.750000            0.184878            0.614526            0.044693
 13.760000            0.201018            0.698224            0.050743
 13.770000            0.217059            0.775000            0.056282
 13.780000            0.232800            0.845009            0.061321
 13.790000            0.248073            0.908555            0.065885
 13.800000            0.262741            0.965997            0.070000
 13.810000            0.276689            1.017723            0.073695
 13.820000            0.289830            1.064126            0.076999
 13.830000            0.302101            1.105593            0.079942
 13.840000            0.313459            1.142498            0.082550
 13.850000            0.323879            1.175199            0.084852
 13.860000            0.333353            1.204031            0.086871
 13.870000            0.341885            1.229303            0.088630
 13.880000            0.349487            1.251297            0.090151
 13.890000            0.356180            1.270267            0.091452
 13.900000            0.361987            1.286437            0.092549
 13.910000            0.366931            1.300003            0.093458
 13.920000            0.371041            1.311142            0.094191
 13.930000            0.374342            1.319999            0.094759
 13.940000            0.376860            1.326704            0.095172
 13.950000            0.378620            1.331362            0.095438
 13.960000            0.379642            1.334057            0.095563
 13.970000            0.379949            1.334866            0.095552
 13.980000            0.379560            1.333842            0.095411
 13.990000            0.378493            1.331028            0.095141
 14.000000            0.376761            1.326440            0.094746
 14.010000            0.374379            1.320098            0.094225
 14.020000            0.371360            1.312002            0.093581
 14.030000            0.367711            1.302127            0.092810
 14.040000            0.363444            1.290454            0.091913
 14.050000            0.358562            1.276931            0.090885
 14.060000            0.353073            1.261506            0.089723
